# InputPklFile=PSL_mass00z05.dat, redshift z=0.5, OmegaM=0.317501, h = 0.6711, f0=0.762924, 	b1=1.7167, b2=-0.3546, bs2=-0.409543, b3nl=0.0728076, alpha0=-6.6232, alpha2=-16.3094, alpha4=-20.6674, c~=-0, 	PshotP=4809.5, alpha0shot=0.0805, alpha4shot=-4.3887
#  1.s[Mpc/h]      2.monopole    3.quadrupole 4.hexadecapole
1.226479e-02 5.579653e+04 2.905227e+04 1.818344e+03
1.292232e-02 5.651482e+04 2.940705e+04 1.836360e+03
1.361511e-02 5.712060e+04 2.970023e+04 1.850041e+03
1.434503e-02 5.760417e+04 2.992666e+04 1.859055e+03
1.511408e-02 5.795031e+04 3.007831e+04 1.862898e+03
1.592437e-02 5.815101e+04 3.015098e+04 1.861315e+03
1.677810e-02 5.819670e+04 3.013967e+04 1.854004e+03
1.767759e-02 5.807382e+04 3.003739e+04 1.840563e+03
1.862531e-02 5.777760e+04 2.984186e+04 1.820905e+03
1.962384e-02 5.730224e+04 2.955031e+04 1.794925e+03
2.067590e-02 5.663794e+04 2.915804e+04 1.762427e+03
2.178436e-02 5.578730e+04 2.866686e+04 1.723629e+03
2.295225e-02 5.474713e+04 2.807574e+04 1.678609e+03
2.418275e-02 5.352660e+04 2.738989e+04 1.627771e+03
2.547922e-02 5.213198e+04 2.661351e+04 1.571580e+03
2.684519e-02 5.057605e+04 2.575414e+04 1.510689e+03
2.828439e-02 4.887589e+04 2.482156e+04 1.445889e+03
2.980076e-02 4.705676e+04 2.382976e+04 1.378207e+03
3.139842e-02 4.514247e+04 2.279195e+04 1.308628e+03
3.308173e-02 4.316930e+04 2.172740e+04 1.238404e+03
3.485528e-02 4.116873e+04 2.065221e+04 1.168422e+03
3.672392e-02 3.917783e+04 1.958617e+04 1.100036e+03
3.869273e-02 3.721623e+04 1.853966e+04 1.033925e+03
4.076710e-02 3.532390e+04 1.753260e+04 9.711467e+02
4.295268e-02 3.354811e+04 1.658758e+04 9.127202e+02
4.525543e-02 3.191596e+04 1.571673e+04 8.590433e+02
4.768163e-02 3.044005e+04 1.492371e+04 8.097686e+02
5.023790e-02 2.911427e+04 1.420342e+04 7.642658e+02
5.293122e-02 2.792152e+04 1.354731e+04 7.222780e+02
5.576894e-02 2.683387e+04 1.294130e+04 6.831831e+02
5.875878e-02 2.583123e+04 1.237504e+04 6.465146e+02
6.190892e-02 2.491020e+04 1.184477e+04 6.117652e+02
6.522793e-02 2.393600e+04 1.129562e+04 5.786109e+02
6.872489e-02 2.289225e+04 1.072061e+04 5.465842e+02
7.240932e-02 2.173107e+04 1.010647e+04 5.168986e+02
7.629128e-02 2.043631e+04 9.455318e+03 4.913266e+02
8.038135e-02 1.902587e+04 8.780887e+03 4.708838e+02
8.469070e-02 1.755039e+04 8.107443e+03 4.561017e+02
8.923108e-02 1.608425e+04 7.464421e+03 4.468055e+02
9.401487e-02 1.470581e+04 6.877138e+03 4.418932e+02
9.905513e-02 1.348045e+04 6.353740e+03 4.373918e+02
1.043656e-01 1.245969e+04 5.904045e+03 4.326016e+02
1.099608e-01 1.164570e+04 5.516219e+03 4.259988e+02
1.158559e-01 1.099397e+04 5.171037e+03 4.184109e+02
1.220671e-01 1.042906e+04 4.848415e+03 4.118920e+02
1.286113e-01 9.866460e+03 4.539388e+03 4.102589e+02
1.355063e-01 9.236893e+03 4.245219e+03 4.160572e+02
1.427710e-01 8.527843e+03 3.970972e+03 4.273392e+02
1.504251e-01 7.802519e+03 3.726414e+03 4.407903e+02
1.584896e-01 7.132953e+03 3.504332e+03 4.523817e+02
1.669864e-01 6.569450e+03 3.294359e+03 4.621402e+02
1.759388e-01 6.111201e+03 3.072934e+03 4.687977e+02
1.853711e-01 5.713370e+03 2.846794e+03 4.760317e+02
1.953091e-01 5.321414e+03 2.633492e+03 4.843141e+02
2.057799e-01 4.908328e+03 2.435365e+03 4.883014e+02
2.168120e-01 4.499679e+03 2.261307e+03 4.904327e+02
2.284356e-01 4.132072e+03 2.100397e+03 4.956173e+02
2.406823e-01 3.804723e+03 1.921323e+03 5.022101e+02
2.535856e-01 3.499972e+03 1.728183e+03 5.086348e+02
2.671806e-01 3.203205e+03 1.538441e+03 5.121229e+02
2.815045e-01 2.900574e+03 1.331486e+03 5.070691e+02
2.965964e-01 2.608821e+03 1.112179e+03 5.006214e+02
3.124973e-01 2.334949e+03 8.873479e+02 4.971840e+02
3.292507e-01 2.073342e+03 6.595841e+02 4.945457e+02
3.469022e-01 1.813046e+03 4.158699e+02 4.886486e+02
3.655001e-01 1.548706e+03 1.438092e+02 4.793125e+02
3.850950e-01 1.283862e+03 -1.504635e+02 4.687898e+02
4.057405e-01 1.017817e+03 -4.647741e+02 4.570514e+02
4.274927e-01 7.494702e+02 -8.012538e+02 4.446722e+02
4.504112e-01 4.732104e+02 -1.168783e+03 4.306323e+02
4.745583e-01 1.816699e+02 -1.577930e+03 4.136815e+02
5.000000e-01 -1.082378e+02 -2.002892e+03 3.996932e+02
